Id,m1
StatusCode,Complete
Messages,
Full label,us-east-1:AWS/Lambda FunctionName:drift-detector-stack-processor Duration p99 60
Label,Duration
2026/05/04 16:34:00,3764.34
2026/05/04 16:35:00,
2026/05/04 16:36:00,
2026/05/04 16:37:00,
2026/05/04 16:38:00,
2026/05/04 16:39:00,
2026/05/04 16:40:00,
2026/05/04 16:41:00,
2026/05/04 16:42:00,
2026/05/04 16:43:00,
2026/05/04 16:44:00,
2026/05/04 16:45:00,
2026/05/04 16:46:00,
2026/05/04 16:47:00,
2026/05/04 16:48:00,
2026/05/04 16:49:00,
2026/05/04 16:50:00,
2026/05/04 16:51:00,
2026/05/04 16:52:00,
2026/05/04 16:53:00,
2026/05/04 16:54:00,
2026/05/04 16:55:00,
2026/05/04 16:56:00,
2026/05/04 16:57:00,9374.071605286204
2026/05/04 16:58:00,
2026/05/04 16:59:00,
2026/05/04 17:00:00,
2026/05/04 17:01:00,
2026/05/04 17:02:00,
2026/05/04 17:03:00,
2026/05/04 17:04:00,
2026/05/04 17:05:00,
2026/05/04 17:06:00,
2026/05/04 17:07:00,
2026/05/04 17:08:00,
2026/05/04 17:09:00,
2026/05/04 17:10:00,
2026/05/04 17:11:00,
2026/05/04 17:12:00,
2026/05/04 17:13:00,
2026/05/04 17:14:00,
2026/05/04 17:15:00,
2026/05/04 17:16:00,
2026/05/04 17:17:00,
2026/05/04 17:18:00,
2026/05/04 17:19:00,
2026/05/04 17:20:00,
2026/05/04 17:21:00,
2026/05/04 17:22:00,
2026/05/04 17:23:00,
2026/05/04 17:24:00,15164.115248866572
2026/05/04 17:25:00,
2026/05/04 17:26:00,
2026/05/04 17:27:00,
2026/05/04 17:28:00,
2026/05/04 17:29:00,
2026/05/04 17:30:00,
2026/05/04 17:31:00,
2026/05/04 17:32:00,
2026/05/04 17:33:00,
2026/05/04 17:34:00,
2026/05/04 17:35:00,
2026/05/04 17:36:00,
2026/05/04 17:37:00,
2026/05/04 17:38:00,
2026/05/04 17:39:00,
2026/05/04 17:40:00,
2026/05/04 17:41:00,
2026/05/04 17:42:00,
2026/05/04 17:43:00,
2026/05/04 17:44:00,
2026/05/04 17:45:00,
2026/05/04 17:46:00,
2026/05/04 17:47:00,
2026/05/04 17:48:00,
2026/05/04 17:49:00,
2026/05/04 17:50:00,
2026/05/04 17:51:00,
2026/05/04 17:52:00,16417.06788082059
2026/05/04 17:53:00,
2026/05/04 17:54:00,
2026/05/04 17:55:00,
2026/05/04 17:56:00,
2026/05/04 17:57:00,
2026/05/04 17:58:00,
2026/05/04 17:59:00,
2026/05/04 18:00:00,
2026/05/04 18:01:00,
2026/05/04 18:02:00,
2026/05/04 18:03:00,
2026/05/04 18:04:00,
2026/05/04 18:05:00,11614.416948589034
2026/05/04 18:06:00,
2026/05/04 18:07:00,
2026/05/04 18:08:00,
2026/05/04 18:09:00,
2026/05/04 18:10:00,
2026/05/04 18:11:00,
2026/05/04 18:12:00,
2026/05/04 18:13:00,
2026/05/04 18:14:00,
2026/05/04 18:15:00,
2026/05/04 18:16:00,3509.23
